E001,G,University of Visvesvaraya College of Engineering,"K.R.CIRCLE,Bangalore",AI; AR; CE; CS; EC; EE; IE; ME
E002,G,S K S J T Institute of Engineering.,"K.R.CIRCLE,Bangalore",CE; CS; EC; ST; TX
E061,G,University B.D.T. college of Engineering,"Hadadi Road,Davangere",CE; CS; EC; EE; EI; IP; ME
E154,G,Government Engineering College,"Nanjangud main road,Chamarajanagara,Chamarajanagara",CE; CS; EC; ME
E155,G,Government Engineering College,"Opp. Dairy Circle,B.M. Road,Hassan",CE; CS; EC; ME
E156,G,Government Engineering College,"K R Pet, Mandya DT.",CE; CS; EC; ME
E157,G,Government Engineering College,"Doddamannina Gudde,Near Janapada Loka,Ramanagara",CE; CS; EC; MM
E161,G,Government Engineering College,"Madikeri Road, Malapatna,Kushalnagar, Somwarpet Taluk,Kodagu Dist",CE; CS; EC; ME
E162,G,Government Engineering College,"Hyderabad Road,Raichur",CE; CS; EC; ME
E163,G,Government Engineering College,"1st Main, B Block,Vidyanagar East,Devagiri,Haveri",CE; CS; EC; ME
E164,G,Government Engineering College,"Harapanahalli Road,Huvina Hadagali,Bellary Dist.",CE; CS; EC; ME
E194,G,Government Engineering College,"M.G ROAD,KARWAR",CE; CS; EC; ME
E272,G,Government Engineering College,"Talakal,Koppal",CE; CS; EC; EE; ME
E273,G,Government Engineering College,"Viprasainagar, Gangavathi",CE; CS; EC; EE; ME
E274,G,Government Engineering College,"Moselehosahalli,Hassan",CE; CS; EC; EE; ME
E277,G,Government Engineering College,"Challakere,Chitradurga",
E278,G,Visvesvaraya Technological University,"Muddenahalli,Chickkaballapur",MM
E279,G,Visvesvaraya Technological University,Belgaum,CB; ES; RA
E281,G,Government Engineering College,"Challakere,Chitradurga",AI; AU; CS
E289,G,Visvesvaraya Technological University-Regional Center,"Rajapur, Kusnoor Road,Kalburgi",CS; ES
E290,G,Visvesvaraya Technological University-Regional Center,"Hanchya Sathagalli Layout, Near Ring Road, Mysore",CS
E291,G,Government Engineering College,"Ron Road, Naragund,Dist Gadag",AD; CS
E292,G,Government Engineering College,"Gandhi Nagar, ITI Campus,Mailur, Bidar",AD; CS
E701,G,University Visveswariah College of Engineering,"K.R.CIRCLE,Bangalore",
E702,G,S K S J T Institute of Engineering.,"K.R.CIRCLE,Bangalore",
E003,A,B M S College of Engineering,"P.B No 1908, Bull Temple Road,Hunumathanagar,Basavanagudi,Bangalore",CE; EC; EE; IM; ME
E004,A,Dr. Ambedkar Institute Of Technology,"Outer Ring Road, Mallathahally,Jnanabharathi Campus,Bangalore",CE; CS; EC; EE; EI; ET; IM; ME
E021,A,Sri Jayachamarajendra College of Engineering(Constituent College of JSS Science & Technology University),Mysore,CE; CS; EC; EE; EI; EN; IP; ME; PT
E022,A,The National Institute Of Engineering(South Campus),"Manandavadi Road,Mysore",CE; EC; ME
E023,A,P E S College of Engineering,Mandya,AU; CE; EC; EE; IP; ME
E024,A,Malnad College of Engineering,"P.B. No.21,Salagame Road,Hassan",CE; EC; EE; ME
E030,A,KLE Technological University(Formerly BVBCET),"Vidyanagar,Hubli",CE; EC; EE; ME
E031,A,Basaveshwara Engineering College,"P.B. No.53,Vidyagiri,NIKALINGAPPA,Bagalkot",CE; CS; EC; EE; IP; ME
E041,A,P D A College of Engineering,"Aiwan-E-Shahi Area,Gulbarga",CE; EC; EE; IP; ME
E703,A,B M S College of Engineering,"P.B No 1908, Bull Temple Road,Basavanagudi,Bangalore",
E722,A,The National Institute of Engineering,"Manandavadi Road,Mysore",
